ball_possession,total_shots,shots_on_target,big_chances,big_chances_missed,accurate_passes,accurate_passes_percent,fouls_committed,corners,total_shots,shots_off_target,shots_on_target,blocked_shots,hit_woodwork,shots_inside_box,shots_outside_box,passes,accurate_passes,accurate_passes_percent,own_half_passes,opposition_half_passes,accurate_long_balls,accurate_long_balls_percent,accurate_crosses,accurate_crosses_percent,throws,touches_in_opp_box,offsides,yellow_cards,red_cards,tackles_won,tackles_won_percent,interceptions,blocks,clearances,keeper_saves,duels_won,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,successful_dribbles,successful_dribbles_percent,result,first_half_goals,full_time_goals
0.44,4,2,0,0,131,0.72,2,2,4,0,2,2,0,4,0,181,131,0.72,74,57,14,0.47,1,0.08,14,NULL,0,0,0,6,0.43,10,7,19,1,25,17,0.57,8,0.8,1,0.2,T,0,1
0.56,12,1,2,2,184,0.83,2,7,12,4,1,7,1,8,4,222,184,0.83,73,111,7,0.44,4,0.2,14,NULL,1,1,0,2,0.4,6,2,12,2,15,13,0.43,2,0.2,6,0.46,T,0,1
0.43,12,6,4,3,111,0.72,5,2,12,6,6,0,0,9,3,154,111,0.72,43,68,10,0.4,9,0.5,16,NULL,1,0,0,10,0.63,10,1,8,1,35,23,0.61,12,0.67,3,0.5,W,1,4
0.57,3,2,0,0,162,0.76,4,5,3,0,2,1,0,1,2,212,162,0.76,91,71,5,0.29,1,0.09,16,NULL,0,1,0,2,0.5,3,0,10,5,21,15,0.39,6,0.33,6,0.46,L,1,1
0.49,2,2,1,0,198,0.79,2,0,2,0,2,0,0,2,0,252,198,0.79,160,38,15,0.39,1,0.25,14,NULL,1,0,0,7,0.7,3,1,8,4,24,0,0,5,1,6,0.67,W,1,1
0.51,8,4,2,2,219,0.83,3,2,8,3,4,1,0,6,2,264,219,0.83,114,105,6,0.32,1,0.14,11,NULL,1,0,0,5,0.71,4,0,3,1,15,0,0,0,0,6,0.67,L,0,0
0.37,8,2,1,1,131,0.73,4,1,8,5,2,1,0,6,2,180,131,0.73,72,59,5,0.29,0,0,11,NULL,1,1,0,2,0.67,10,2,8,3,16,14,0.5,2,0.4,6,0.75,L,0,1
0.63,8,3,0,0,257,0.82,5,1,8,3,3,2,0,5,3,312,257,0.82,143,114,19,0.63,4,0.57,12,NULL,0,0,0,8,0.8,6,1,2,2,17,14,0.5,3,0.6,2,0.67,W,0,2
0.35,2,1,0,0,75,0.63,3,2,2,1,1,0,0,1,1,119,75,0.63,40,35,12,0.43,1,0.14,16,NULL,1,0,0,4,0.67,8,0,17,0,23,15,0.43,8,0.67,7,0.7,T,0,1
0.65,6,1,1,1,180,0.78,2,2,6,4,1,1,0,3,3,231,180,0.78,112,68,7,0.37,1,0.11,16,NULL,2,0,0,6,0.6,2,0,9,1,24,20,0.57,4,0.33,7,0.64,T,1,1
